Snötyp:,Snötemperatur:,Valla (Label),Fuktighet snö:,Temperatur luft:,Luftfuktighet:
Nysnö,1,Swix V55N,-,-,-
Nysnö,0,Swix V55N,-,-,-
Nysnö,−1,Swix V55N,-,-,-
Nysnö,−1,Swix V45,-,-,-
Nysnö,−2,Swix V45,-,-,-
Nysnö,−3,Swix V45,-,-,-
Nysnö,−4,Swix V45,-,-,-
Nysnö,−4,Swix V40,-,-,-
Nysnö,−5,Swix V40,-,-,-
Nysnö,−6,Swix V40,-,-,-
Nysnö,−7,Swix V40,-,-,-
Nysnö,−8,Swix V40,-,-,-
Nysnö,−9,Swix V40,-,-,-
Nysnö,−10,Swix V40,-,-,-
Nysnö,−11,Swix V40,-,-,-
Nysnö,−12,Swix V40,-,-,-
Nysnö,−13,Swix V40,-,-,-
Nysnö,−14,Swix V40,-,-,-
Nysnö,−15,Swix V40,-,-,-
Konstsnö,6,Swix KX75,-,-,-
Konstsnö,5,Swix KX75,-,-,-
Konstsnö,4,Swix KX75,-,-,-
Konstsnö,3,Swix KX75,-,-,-
Konstsnö,3,Swix KX65,-,-,-
Konstsnö,2,Swix KX65,-,-,-
Konstsnö,1,Swix KX65,-,-,-
Konstsnö,0,Swix KX65,-,-,-
Konstsnö,1,Swix K22,-,-,-
Konstsnö,0,Swix K22,-,-,-
Konstsnö,−1,Swix K22,-,-,-
Konstsnö,−1,Swix KX35,-,-,-
Konstsnö,−2,Swix KX35,-,-,-
Konstsnö,−3,Swix KX35,-,-,-
Konstsnö,−4,Swix KX35,-,-,-
Konstsnö,−5,Swix KX35,-,-,-
Konstsnö,−6,Swix KX35,-,-,-
Konstsnö,−7,Swix KX35,-,-,-
Konstsnö,−8,Swix KX35,-,-,-
Konstsnö,−9,Swix KX35,-,-,-
Konstsnö,−10,Swix KX35,-,-,-
Konstsnö,−11,Swix KX35,-,-,-
Konstsnö,−12,Swix KX35,-,-,-
Konstsnö,−12,Swix V40,-,-,-
Konstsnö,−13,Swix V40,-,-,-
Konstsnö,−14,Swix V40,-,-,-
Konstsnö,−15,Swix V40,-,-,-
Gammal snö,6,Swix KX65,-,-,-
Gammal snö,5,Swix KX65,-,-,-
Gammal snö,4,Swix KX65,-,-,-
Gammal snö,3,Swix KX65,-,-,-
Gammal snö,3,Swix K22,-,-,-
Gammal snö,2,Swix K22,-,-,-
Gammal snö,1,Swix K22,-,-,-
Gammal snö,0,Swix K22,-,-,-
Gammal snö,1,Swix V60,-,-,-
Gammal snö,0,Swix V60,-,-,-
Gammal snö,−1,Swix V60,-,-,-
Gammal snö,−1,Swix V50,-,-,-
Gammal snö,−2,Swix V50,-,-,-
Gammal snö,−3,Swix V50,-,-,-
Gammal snö,−4,Swix V50,-,-,-
Gammal snö,−4,Swix V40,-,-,-
Gammal snö,−5,Swix V40,-,-,-
Gammal snö,−6,Swix V40,-,-,-
Gammal snö,−7,Swix V40,-,-,-
Gammal snö,−8,Swix V40,-,-,-
Gammal snö,−9,Swix V40,-,-,-
Gammal snö,−10,Swix V40,-,-,-
Gammal snö,−11,Swix V40,-,-,-
Gammal snö,−12,Swix V40,-,-,-
Gammal snö,−12,Swix V40,-,-,-
Gammal snö,−13,Swix V40,-,-,-
Gammal snö,−14,Swix V40,-,-,-
Gammal snö,−15,Swix V40,-,-,-
Skitig snö,6,Swix KX65,-,-,-
Skitig snö,5,Swix KX65,-,-,-
Skitig snö,4,Swix KX65,-,-,-
Skitig snö,3,Swix KX65,-,-,-
Skitig snö,3,Swix KX65,-,-,-
Skitig snö,2,Swix KX65,-,-,-
Skitig snö,1,Swix KX65,-,-,-
Skitig snö,0,Swix KX65,-,-,-
Skitig snö,1,Swix K21S,-,-,-
Skitig snö,0,Swix K21S,-,-,-
Skitig snö,−1,Swix K21S,-,-,-
Skitig snö,−1,Swix KX35,-,-,-
Skitig snö,−2,Swix KX35,-,-,-
Skitig snö,−3,Swix KX35,-,-,-
Skitig snö,−4,Swix KX35,-,-,-
Skitig snö,−4,Swix KX35,-,-,-
Skitig snö,−5,Swix KX35,-,-,-
Skitig snö,−6,Swix KX35,-,-,-
Skitig snö,−7,Swix KX35,-,-,-
Skitig snö,−8,Swix KX35,-,-,-
Skitig snö,−8,Swix V40,-,-,-
Skitig snö,−9,Swix V40,-,-,-
Skitig snö,−10,Swix V40,-,-,-
Skitig snö,−11,Swix V40,-,-,-
Skitig snö,−12,Swix V40,-,-,-
Skitig snö,−12,Swix V40,-,-,-
Skitig snö,−13,Swix V40,-,-,-
Skitig snö,−14,Swix V40,-,-,-
Skitig snö,−15,Swix V40,-,-,-
