Snötyp:,Snötemperatur:,Valla (Label),Fuktighet snö:,Temperatur luft:,Luftfuktighet:
0,1,0,1,0,1
0,0,0,1,-1,1
0,-1,0,1,-2,1
0,-1,1,1,-3,1
0,-2,1,1,-3,1
0,-3,1,1,-4,1
0,-4,1,1,-5,1
0,-4,2,1,-5,1
0,-5,2,1,-7,1
0,-6,2,1,-7,1
0,-7,2,1,-8,1
0,-8,2,1,-10,1
0,-9,2,1,-10,1
0,-10,2,1,-11,1
0,-11,2,1,-12,1
0,-12,2,1,-14,1
0,-13,2,1,-14,1
0,-14,2,1,-15,1
0,-15,2,1,-17,1
1,6,3,1,5,1
1,5,3,1,3,1
1,4,3,1,3,1
1,3,3,1,2,1
1,3,4,1,2,1
1,2,4,1,1,1
1,1,4,1,1,1
1,0,4,1,-1,1
1,1,5,1,1,1
1,0,5,1,0,1
1,-1,5,1,-2,1
1,-1,6,1,-3,1
1,-2,6,1,-3,1
1,-3,6,1,-4,1
1,-4,6,1,-6,1
1,-5,6,1,-6,1
1,-6,6,1,-7,1
1,-7,6,1,-9,1
1,-8,6,1,-9,1
1,-9,6,1,-10,1
1,-10,6,1,-11,1
1,-11,6,1,-12,1
1,-12,6,1,-13,1
1,-12,2,1,-14,1
1,-13,2,1,-14,1
1,-14,2,1,-16,1
1,-15,2,1,-17,1
2,6,4,1,4,1
2,5,4,1,3,1
2,4,4,1,4,1
2,3,4,1,1,1
2,3,5,1,2,1
2,2,5,1,3,1
2,1,5,1,-1,1
2,0,5,1,1,1
2,1,7,1,0,1
2,0,7,1,-2,1
2,-1,7,1,0,1
2,-1,8,1,-3,1
2,-2,8,1,-1,1
2,-3,8,1,-1,1
2,-4,8,1,-2,1
2,-4,2,1,-5,1
2,-5,2,1,-4,1
2,-6,2,1,-7,1
2,-7,2,1,-5,1
2,-8,2,1,-7,1
2,-9,2,1,-11,1
2,-10,2,1,-7,1
2,-11,2,1,-9,1
2,-12,2,1,-10,1
2,-12,2,1,-12,1
2,-13,2,1,-12,1
2,-14,2,1,-15,1
2,-15,2,1,-13,1
3,6,4,1,5,1
3,5,4,1,7,1
3,4,4,1,2,1
3,3,4,1,3,1
3,3,4,1,4,1
3,2,4,1,0,1
3,1,4,1,-1,1
3,0,4,1,1,1
3,1,9,1,2,1
3,0,9,1,2,1
3,-1,9,1,1,1
3,-1,6,1,-2,1
3,-2,6,1,-4,1
3,-3,6,1,-2,1
3,-4,6,1,-5,1
3,-4,6,1,-1,1
3,-5,6,1,-6,1
3,-6,6,1,-6,1
3,-7,6,1,-6,1
3,-8,6,1,-9,1
3,-8,2,1,-7,1
3,-9,2,1,-7,1
3,-10,2,1,-11,1
3,-11,2,1,-9,1
3,-12,2,1,-10,1
3,-12,2,1,-11,1
3,-13,2,1,-14,1
3,-14,2,1,-12,1
3,-15,2,1,-13,1
